badge_name,id,reference_id,reference_type,badge_group_id,enabled,points,highest_points,created_at,updated_at,deleted_at
Information Technology,1,f4491b7b-ad9a-45cc-9945-939f9813ea9e,categories,1,TRUE,190,240,30:30.0,30:30.0,
Admin & Clerical,2,62fa1031-a980-42b0-ac1d-8821b5ee4c55,categories,1,TRUE,20,20,30:30.0,30:30.0,
Management,3,6e9a7c70-2106-4f89-9809-6ad9a66b745d,categories,1,TRUE,40,40,30:30.0,30:30.0,
Other,4,d0ee2b2a-9155-44a9-b4b9-eddacd5f135a,categories,1,TRUE,100,130,30:30.0,30:30.0,
Marketing,5,02f15662-231c-47c3-9df0-7ad153205a7a,categories,1,TRUE,40,60,30:30.0,30:30.0,
Information Services,6,1f70b1c2-261a-446a-8553-84588fc91a87,industries,2,TRUE,40,40,30:30.0,30:30.0,
Retail,7,32df426f-bad0-47a7-95f2-dc2d723cf915,industries,2,TRUE,15,20,30:30.0,30:30.0,
Financial Services,8,340ade8d-7732-48d8-96a0-47d3098505ce,industries,2,TRUE,80,110,30:30.0,30:30.0,
Electrical/Electronic Manufacturing,9,eb4c680b-1c49-4f35-95d8-7541232b7403,industries,2,TRUE,120,150,30:30.0,30:30.0,
Pharmaceuticals,10,d27ebb64-1620-450e-8511-39b47b9a0ea4,industries,2,TRUE,40,60,30:30.0,30:30.0,
Internet,11,8628adf6-1c67-4eaf-b131-e773a2f6caba,industries,2,TRUE,40,40,30:30.0,30:30.0,
Computer Hardware,12,fa6cf483-1fce-400e-8ad0-84d4b0453ad6,industries,2,TRUE,55,70,30:30.0,30:30.0,
Contract,13,,,3,TRUE,270,340,30:30.0,30:30.0,
Full Time,14,,,3,TRUE,120,150,30:30.0,30:30.0,
United States,15,80c17587-1891-48e1-9447-d53b553534f2,countries,4,TRUE,390,490,30:30.0,30:30.0,
California,16,36366d94-5082-45cc-a944-64fae1df349c,states,5,TRUE,110,130,30:30.0,30:30.0,
Massachusetts,17,4f93a049-e2b8-4ddf-82dd-4de1613dbac4,states,5,TRUE,60,80,30:30.0,30:30.0,
New York,18,24302407-126c-41b9-a3bc-b26680604dc0,states,5,TRUE,80,110,30:30.0,30:30.0,
Texas,19,94e1a62f-121b-4f0c-b2ca-2ffc178a8dc1,states,5,TRUE,40,40,30:30.0,30:30.0,
Pennsylvania,20,dce06153-aaaf-449e-b6ab-04a9d6a733de,states,5,TRUE,40,40,30:30.0,30:30.0,
Florida,21,548305ad-edda-4c39-94e3-babfa14462a8,states,5,TRUE,60,90,30:30.0,30:30.0,
Information Technology,22,f4491b7b-ad9a-45cc-9945-939f9813ea9e,categories,6,TRUE,20,20,30:30.0,30:30.0,
Professional Services,23,3aa48114-3d4e-48ea-b560-0ed8a79f31d9,categories,6,TRUE,10,10,30:30.0,30:30.0,
Other,24,d0ee2b2a-9155-44a9-b4b9-eddacd5f135a,categories,6,TRUE,280,330,30:30.0,30:30.0,
Automotive,25,e3cf33d6-79df-4a33-b8bc-2dde3f632a2b,industries,7,TRUE,40,60,30:30.0,30:30.0,
Media Production,26,67337d45-54a6-4029-884d-899c61f2213e,industries,7,TRUE,40,40,30:30.0,30:30.0,
Market Research,27,2bd0a76a-80a8-414a-b1e6-9043184d4517,industries,7,TRUE,10,10,30:30.0,30:30.0,
Internet,28,8628adf6-1c67-4eaf-b131-e773a2f6caba,industries,7,TRUE,220,250,30:30.0,30:30.0,
Contract,29,,,8,TRUE,310,360,30:30.0,30:30.0,
United States,30,80c17587-1891-48e1-9447-d53b553534f2,countries,9,TRUE,310,360,30:30.0,30:30.0,
Michigan,31,98c9211b-62eb-46e3-a10f-c1654f3c6468,states,10,TRUE,40,60,30:30.0,30:30.0,
New Jersey,32,32beca94-125a-4dbb-bc91-5ddbe8561024,states,10,TRUE,40,40,30:30.0,30:30.0,
California,33,36366d94-5082-45cc-a944-64fae1df349c,states,10,TRUE,230,260,30:30.0,30:30.0,
Engineering,34,4980da77-a184-4eab-8b15-051dc760305e,categories,11,TRUE,60,80,30:30.0,30:30.0,
Research,35,18c5d709-db4c-4e5c-abaf-3f0a8ee828ba,categories,11,TRUE,0,50,30:30.0,30:30.0,
Professional Services,36,3aa48114-3d4e-48ea-b560-0ed8a79f31d9,categories,11,TRUE,40,40,30:30.0,30:30.0,
Other,37,d0ee2b2a-9155-44a9-b4b9-eddacd5f135a,categories,11,TRUE,270,270,30:30.0,30:30.0,
Automotive,38,e3cf33d6-79df-4a33-b8bc-2dde3f632a2b,industries,12,TRUE,150,150,30:30.0,30:30.0,
Biotechnology,39,210ca205-d9f0-49ff-a17c-0b7921928168,industries,12,TRUE,60,130,30:30.0,30:30.0,
Research,40,e6d6974e-0d85-4933-82b8-9908aa6134df,industries,12,TRUE,40,40,30:30.0,30:30.0,
Media Production,41,67337d45-54a6-4029-884d-899c61f2213e,industries,12,TRUE,80,80,30:30.0,30:30.0,
Internet,42,8628adf6-1c67-4eaf-b131-e773a2f6caba,industries,12,TRUE,40,40,30:30.0,30:30.0,
Contract,43,,,13,TRUE,370,440,30:30.0,30:30.0,
United States,44,80c17587-1891-48e1-9447-d53b553534f2,countries,14,TRUE,370,440,30:30.0,30:30.0,
California,45,36366d94-5082-45cc-a944-64fae1df349c,states,15,TRUE,220,290,30:30.0,30:30.0,
Michigan,46,98c9211b-62eb-46e3-a10f-c1654f3c6468,states,15,TRUE,150,150,30:30.0,30:30.0,
Professional Services,47,3aa48114-3d4e-48ea-b560-0ed8a79f31d9,categories,16,TRUE,85,120,30:30.0,30:30.0,
Engineering,48,4980da77-a184-4eab-8b15-051dc760305e,categories,16,TRUE,90,130,30:30.0,30:30.0,
Information Technology,49,f4491b7b-ad9a-45cc-9945-939f9813ea9e,categories,16,TRUE,180,200,30:30.0,30:30.0,
Internet,50,8628adf6-1c67-4eaf-b131-e773a2f6caba,industries,17,TRUE,35,60,30:30.0,30:30.0,
Logistics and Supply Chain,51,0bb007c8-04dd-479d-9816-4854d522405a,industries,17,TRUE,180,220,30:30.0,30:30.0,
Financial Services,52,340ade8d-7732-48d8-96a0-47d3098505ce,industries,17,TRUE,80,100,30:30.0,30:30.0,
Utilities,53,684d01d1-c2e4-4094-8cb4-a44e873045dd,industries,17,TRUE,50,60,30:30.0,30:30.0,
Accounting,54,616163d7-3cc5-4a1e-99b3-3fc6e27f1fb8,industries,17,TRUE,10,10,30:30.0,30:30.0,
Full Time,55,,,18,TRUE,180,240,30:30.0,30:30.0,
Contract,56,,,18,TRUE,175,210,30:30.0,30:30.0,
United States,57,80c17587-1891-48e1-9447-d53b553534f2,countries,19,TRUE,355,450,30:30.0,30:30.0,
Arizona,58,d871ff05-dcec-4887-b525-60ea614c4144,states,20,TRUE,20,40,30:30.0,30:30.0,
New York,59,24302407-126c-41b9-a3bc-b26680604dc0,states,20,TRUE,60,60,30:30.0,30:30.0,
New Jersey,60,32beca94-125a-4dbb-bc91-5ddbe8561024,states,20,TRUE,90,130,30:30.0,30:30.0,
Washington,61,5ea46500-47a5-40c4-aca3-bc7f569e5280,states,20,TRUE,10,10,30:30.0,30:30.0,
Pennsylvania,62,dce06153-aaaf-449e-b6ab-04a9d6a733de,states,20,TRUE,90,90,30:30.0,30:30.0,
California,63,36366d94-5082-45cc-a944-64fae1df349c,states,20,TRUE,35,60,30:30.0,30:30.0,
Oregon,64,9a6040f4-bf18-4745-90d9-687955625273,states,20,TRUE,50,60,30:30.0,30:30.0,
Admin & Clerical,65,62fa1031-a980-42b0-ac1d-8821b5ee4c55,categories,21,TRUE,90,120,30:30.0,30:30.0,
Information Technology,66,f4491b7b-ad9a-45cc-9945-939f9813ea9e,categories,21,TRUE,110,120,30:30.0,30:30.0,
Design,67,5423730c-0446-428f-abb4-32a77b59770a,categories,21,TRUE,40,40,30:30.0,30:30.0,
Human Resources,68,c83bb386-c1a7-4778-b1c0-855c2b501b83,categories,21,TRUE,40,40,30:30.0,30:30.0,
Other,69,d0ee2b2a-9155-44a9-b4b9-eddacd5f135a,categories,21,TRUE,20,40,30:30.0,30:30.0,
Accounting,70,bc83ca55-7b5d-4384-9bf8-02439e85a568,categories,21,TRUE,20,40,30:30.0,30:30.0,
Professional Services,71,3aa48114-3d4e-48ea-b560-0ed8a79f31d9,categories,21,TRUE,20,40,30:30.0,30:30.0,
Retail,72,32df426f-bad0-47a7-95f2-dc2d723cf915,industries,22,TRUE,50,80,30:30.0,30:30.0,
Internet,73,8628adf6-1c67-4eaf-b131-e773a2f6caba,industries,22,TRUE,30,40,30:30.0,30:30.0,
Pharmaceuticals,74,d27ebb64-1620-450e-8511-39b47b9a0ea4,industries,22,TRUE,20,20,30:30.0,30:30.0,
Electrical/Electronic Manufacturing,75,eb4c680b-1c49-4f35-95d8-7541232b7403,industries,22,TRUE,80,80,30:30.0,30:30.0,
Utilities,76,684d01d1-c2e4-4094-8cb4-a44e873045dd,industries,22,TRUE,20,40,30:30.0,30:30.0,
Logistics and Supply Chain,77,0bb007c8-04dd-479d-9816-4854d522405a,industries,22,TRUE,80,100,30:30.0,30:30.0,
Information Technology and Services,78,42099ec1-9994-4777-82b3-d80737e75bea,industries,22,TRUE,60,80,30:30.0,30:30.0,
Contract,79,,,23,TRUE,300,380,30:30.0,30:30.0,
Full Time,80,,,23,TRUE,40,60,30:30.0,30:30.0,
United States,81,80c17587-1891-48e1-9447-d53b553534f2,countries,24,TRUE,340,440,30:30.0,30:30.0,
Oregon,82,9a6040f4-bf18-4745-90d9-687955625273,states,25,TRUE,20,40,30:30.0,30:30.0,
Michigan,83,98c9211b-62eb-46e3-a10f-c1654f3c6468,states,25,TRUE,60,80,30:30.0,30:30.0,
Massachusetts,84,4f93a049-e2b8-4ddf-82dd-4de1613dbac4,states,25,TRUE,100,100,30:30.0,30:30.0,
Virginia,85,1ba42657-a1e8-4549-b6e8-f9543e61b808,states,25,TRUE,20,20,30:30.0,30:30.0,
California,86,36366d94-5082-45cc-a944-64fae1df349c,states,25,TRUE,100,160,30:30.0,30:30.0,
Arkansas,87,b85ead0f-98bd-4a05-b514-b1944fc00359,states,25,TRUE,40,40,30:30.0,30:30.0,
Other,88,d0ee2b2a-9155-44a9-b4b9-eddacd5f135a,categories,26,TRUE,60,110,30:30.0,30:30.0,
Automotive,89,2fd11bdf-13a1-46ba-ac89-ac230d4d1e73,categories,26,TRUE,235,350,30:30.0,30:30.0,
Information Technology,90,f4491b7b-ad9a-45cc-9945-939f9813ea9e,categories,26,TRUE,370,520,30:30.0,30:30.0,
Professional Services,91,3aa48114-3d4e-48ea-b560-0ed8a79f31d9,categories,26,TRUE,60,80,30:30.0,30:30.0,
Utilities,92,684d01d1-c2e4-4094-8cb4-a44e873045dd,industries,27,TRUE,160,200,30:30.0,30:30.0,
